Date,Location,NewCases,NewDeaths,NewRecovered,NewActiveCases,TotalCases,TotalDeaths,TotalRecovered,TotalActiveCases,Country,Continent,Island,TimeZone,SpecialStatus,TotalRegencies,TotalCities,TotalDistricts,TotalUrbanVillages,TotalRuralVillages,Area(km2),Population,PopulationDensity,Longitude,Latitude,NewCasesperMillion,TotalCasesperMillion,NewDeathsperMillion,TotalDeathsperMillion,TotalDeathsper100rb,CaseFatalityRate,CaseRecoveredRate,GrowthFactorofNewCases,GrowthFactorofNewDeaths
12/2/2021,DKI Jakarta,28,0,0,28,864045,13596,849875,574,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,2.58,79663.79,0,1253.53,125.35,1.57%,98.36%,0.4,1
12/1/2021,DKI Jakarta,70,0,1,69,864017,13596,849875,546,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,6.45,79661.21,0,1253.53,125.35,1.57%,98.36%,1.59,1
11/30/2021,DKI Jakarta,44,0,0,44,863947,13596,849874,477,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,4.06,79654.75,0,1253.53,125.35,1.57%,98.37%,1.07,1
11/29/2021,DKI Jakarta,41,0,71,-30,863903,13596,849874,433,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,3.78,79650.7,0,1253.53,125.35,1.57%,98.38%,0.8,1
11/28/2021,DKI Jakarta,51,0,52,-1,863862,13596,849803,463,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,4.7,79646.92,0,1253.53,125.35,1.57%,98.37%,0.94,1
11/27/2021,DKI Jakarta,54,0,86,-32,863811,13596,849751,464,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,4.98,79642.21,0,1253.53,125.35,1.57%,98.37%,0.77,1
11/26/2021,DKI Jakarta,70,0,56,14,863757,13596,849665,496,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,6.45,79637.24,0,1253.53,125.35,1.57%,98.37%,1.3,0
11/25/2021,DKI Jakarta,54,1,42,11,863687,13596,849609,482,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,4.98,79630.78,0.09,1253.53,125.35,1.57%,98.37%,0.66,1
11/24/2021,DKI Jakarta,82,1,105,-24,863633,13595,849567,471,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,7.56,79625.8,0.09,1253.44,125.34,1.57%,98.37%,1.19,
11/23/2021,DKI Jakarta,69,0,43,26,863551,13594,849462,495,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,6.36,79618.24,0,1253.35,125.33,1.57%,98.37%,2.65,1
11/22/2021,DKI Jakarta,26,0,51,-25,863482,13594,849419,469,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,2.4,79611.88,0,1253.35,125.33,1.57%,98.37%,0.23,1
11/21/2021,DKI Jakarta,111,0,120,-9,863456,13594,849368,494,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,10.23,79609.48,0,1253.35,125.33,1.57%,98.37%,0.97,0
11/20/2021,DKI Jakarta,114,1,158,-45,863345,13594,849248,503,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,10.51,79599.25,0.09,1253.35,125.33,1.57%,98.37%,1.18,0.5
