Date,LocationISOCode,Location,NewCases,NewDeaths,NewRecovered,NewActiveCases,TotalCases,TotalDeaths,TotalRecovered,TotalActiveCases,LocationLevel,CityorRegency,Province,Country,Continent,Island,TimeZone,SpecialStatus,TotalRegencies,TotalCities,TotalDistricts,TotalUrbanVillages,TotalRuralVillages,Area(km2),Population,PopulationDensity,Longitude,Latitude,NewCasesperMillion,TotalCasesperMillion,NewDeathsperMillion,TotalDeathsperMillion,TotalDeathsper100rb,CaseFatalityRate,CaseRecoveredRate,GrowthFactorofNewCases,GrowthFactorofNewDeaths
10/17/2021,ID-JI,Jawa Timur,60,4,88,-32,397322,29548,367090,684,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.48,9815.5,0.1,729.96,73,0.07,0.92,0.6,0.36
10/18/2021,ID-JI,Jawa Timur,43,8,86,-51,397365,29556,367176,633,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.06,9816.57,0.2,730.16,73.02,0.07,0.92,0.72,2
10/19/2021,ID-JI,Jawa Timur,95,6,105,-16,397460,29562,367281,617,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,2.35,9818.91,0.15,730.3,73.03,0.07,0.92,2.21,0.75
10/20/2021,ID-JI,Jawa Timur,93,6,98,-11,397553,29568,367379,606,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,2.3,9821.21,0.15,730.45,73.05,0.07,0.92,0.98,1
10/21/2021,ID-JI,Jawa Timur,64,7,90,-33,397617,29575,367469,573,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.58,9822.79,0.17,730.63,73.06,0.07,0.92,0.69,1.17
10/22/2021,ID-JI,Jawa Timur,64,3,96,-35,397681,29578,367565,538,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.58,9824.37,0.07,730.7,73.07,0.07,0.92,1,0.43
10/23/2021,ID-JI,Jawa Timur,74,5,62,7,397755,29583,367627,545,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.83,9826.2,0.12,730.82,73.08,0.07,0.92,1.16,1.67
10/24/2021,ID-JI,Jawa Timur,54,2,70,-18,397809,29585,367697,527,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.33,9827.53,0.05,730.87,73.09,0.07,0.92,0.73,0.4
10/25/2021,ID-JI,Jawa Timur,34,7,69,-42,397843,29592,367766,485,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.84,9828.37,0.17,731.05,73.1,0.07,0.92,0.63,3.5
10/26/2021,ID-JI,Jawa Timur,51,7,72,-28,397894,29599,367838,457,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.26,9829.63,0.17,731.22,73.12,0.07,0.92,1.5,1
10/27/2021,ID-JI,Jawa Timur,90,6,99,-15,397984,29605,367937,442,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,2.22,9831.86,0.15,731.37,73.14,0.07,0.92,1.76,0.86
10/28/2021,ID-JI,Jawa Timur,72,4,72,-4,398056,29609,368009,438,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.78,9833.64,0.1,731.47,73.15,0.07,0.92,0.8,0.67
10/29/2021,ID-JI,Jawa Timur,54,5,56,-7,398110,29614,368065,431,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.33,9834.97,0.12,731.59,73.16,0.07,0.92,0.75,1.25
10/30/2021,ID-JI,Jawa Timur,81,6,67,8,398191,29620,368132,439,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,2,9836.97,0.15,731.74,73.17,0.07,0.92,1.5,1.2
10/31/2021,ID-JI,Jawa Timur,57,4,63,-10,398248,29624,368195,429,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.41,9838.38,0.1,731.84,73.18,0.07,0.92,0.7,0.67
11/1/2021,ID-JI,Jawa Timur,40,1,57,-18,398288,29625,368252,411,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.99,9839.37,0.02,731.86,73.19,0.07,0.92,0.7,0.25
11/2/2021,ID-JI,Jawa Timur,74,3,69,2,398362,29628,368321,413,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.83,9841.2,0.07,731.93,73.19,0.07,0.92,1.85,3
11/3/2021,ID-JI,Jawa Timur,67,8,72,-13,398429,29636,368393,400,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.66,9842.85,0.2,732.13,73.21,0.07,0.92,0.91,2.67
11/4/2021,ID-JI,Jawa Timur,59,6,57,-4,398488,29642,368450,396,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.46,9844.31,0.15,732.28,73.23,0.07,0.92,0.88,0.75
